outcome_type;sex;Spay/Neuter;outcome_age_(days);Cat/Kitten (outcome);cfa_breed;coat_pattern;color1;color2;breed1;breed2
Transfer;Female;Yes;365;Cat;False;;black;white;domestic mediumhair;
Adoption;Female;Yes;120;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;1825;Cat;False;;black;white;domestic shorthair;
Return to Owner;Female;Yes;730;Cat;False;tabby;brown;;domestic longhair;
Transfer;Female;No;180;Cat;False;tabby;blue;;domestic shorthair;
Transfer;Male;Yes;60;Kitten;False;;black;;domestic mediumhair;
Euthanasia;Female;Yes;1825;Cat;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;silver;;domestic shorthair;
Transfer;Male;No;7;Kitten;False;tabby;white;brown;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;calico;Breed Specific;white;domestic longhair;
Transfer;Female;No;365;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;30;Kitten;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;21;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;365;Cat;False;;black;white;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;point;lynx;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;calico;Breed Specific;;domestic shorthair;
Died;Female;No;30;Kitten;False;tabby;blue ;white;domestic shorthair;
Adoption;Female;No;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;white;blue;domestic shorthair;
Adoption;Female;Yes;300;Cat;False;smoke;black;;domestic shorthair;
Transfer;Male;No;7;Kitten;False;;blue;;domestic shorthair;
Transfer;Male;No;30;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;No;2;Kitten;False;point;flame;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;28;Kitten;False;;black;;domestic shorthair;
Transfer;Male;Yes;730;Cat;False;tabby;cream;;domestic shorthair;
Transfer;Female;No;365;Cat;False;;black;;domestic shorthair;
Transfer;Female;No;730;Cat;True;point;lynx;;siamese;
Transfer;Female;No;30;Kitten;False;point;lynx;;domestic shorthair;
Transfer;Male;Yes;3650;Cat;False;tabby;brown;;domestic longhair;
Transfer;Female;No;90;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;730;Cat;False;tabby;orange;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;No;365;Cat;True;tortie;Breed Specific;;siamese;
Transfer;Female;Yes;240;Cat;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;5;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;30;Kitten;False;tabby;orange ;white;domestic shorthair;
Return to Owner;Male;Yes;4015;Cat;False;;blue;;domestic shorthair;
Euthanasia;Female;Yes;90;Kitten;False;;gray;;domestic shorthair;
Transfer;Female;No;365;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;270;Cat;False;;black;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;180;Cat;False;tabby;orange ;white;domestic shorthair;
Euthanasia;Male;No;30;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;180;Cat;False;calico;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;blue ;white;domestic shorthair;
Transfer;Female;Yes;730;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic shorthair;
Return to Owner;Female;Yes;5110;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Male;No;60;Kitten;False;tabby;white;brown;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;calico;Breed Specific;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;orange;;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;No;28;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;;blue;;domestic mediumhair;
Return to Owner;Female;Yes;1095;Cat;False;;blue;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;tabby;brown ;;domestic shorthair;
Transfer;Female;Yes;0;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;730;Cat;True;point;seal;;siamese;
Adoption;Male;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;730;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;torbie;Breed Specific;white;domestic shorthair;
Transfer;Female;No;28;Kitten;False;;white;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Died;Female;No;30;Kitten;False;tabby;cream ;white;domestic shorthair;
Transfer;Male;No;730;Cat;True;point;lynx;;siamese;
Transfer;Male;No;30;Kitten;False;;black;;domestic shorthair;
Adoption;Female;Yes;180;Cat;False;tortie;Breed Specific;;domestic mediumhair;
Adoption;Female;Yes;3285;Cat;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;;blue;white;domestic shorthair;
Transfer;Male;No;60;Kitten;False;;black;white;domestic shorthair;
Transfer;Female;Yes;6;Kitten;False;;black;;domestic shorthair;
Transfer;Male;Yes;120;Kitten;False;;black;;domestic mediumhair;
Return to Owner;Male;Yes;1825;Cat;False;;orange;white;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;3650;Cat;False;calico;Breed Specific;;domestic longhair;
Transfer;Female;Yes;14;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;Yes;2920;Cat;False;;black;white;domestic shorthair;
Transfer;Female;No;21;Kitten;False;tabby;blue;;domestic shorthair;
Adoption;Female;Yes;1825;Cat;False;;blue;white;domestic shorthair;
Transfer;Female;No;3650;Cat;False;tortie;Breed Specific;;domestic shorthair;
Transfer;Male;No;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;6;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;;black;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;180;Cat;True;point;lynx;;siamese;
Return to Owner;Female;No;2190;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;120;Kitten;False;tabby;brown ;white;domestic mediumhair;
Transfer;Male;No;3;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;6;Kitten;False;tabby;silver;;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Return to Owner;Male;Yes;1460;Cat;True;;gray;;maine coon;
Transfer;Female;Yes;120;Kitten;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;730;Cat;False;;blue cream;;domestic shorthair;
Transfer;Male;No;365;Cat;False;tabby;brown;;domestic mediumhair;
Transfer;Female;Yes;365;Cat;False;torbie;Breed Specific;;domestic shorthair;
Transfer;Female;No;730;Cat;False;tabby;orange;;domestic shorthair;
Euthanasia;Male;No;730;Cat;False;;black;white;domestic shorthair;
Euthanasia;Female;Yes;365;Cat;False;tabby;white;blue;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;30;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;tortie;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;90;Kitten;False;tabby;blue;;domestic mediumhair;
Adoption;Male;Yes;365;Cat;False;;blue;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;calico;Breed Specific;;domestic shorthair;
Transfer;Female;Yes;28;Kitten;False;calico;Breed Specific;;domestic shorthair;
Adoption;Male;Yes;240;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;7;Kitten;False;torbie;Breed Specific;white;domestic shorthair;
Adoption;Male;Yes;1825;Cat;False;;blue;;domestic shorthair;
Euthanasia;Female;Yes;14;Kitten;False;tabby;brown;;domestic shorthair;
Transfer;Male;No;730;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;;domestic mediumhair;
Transfer;Female;Yes;6;Kitten;False;tabby;gray;;domestic shorthair;
Transfer;Male;Yes;1095;Cat;True;tabby;brown;;maine coon;
Adoption;Female;Yes;60;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Female;Yes;14;Kitten;False;;black;white;domestic shorthair;
Transfer;Male;No;28;Kitten;False;;white;black;domestic shorthair;
Transfer;Male;No;14;Kitten;False;smoke;black;;domestic mediumhair;
Adoption;Female;Yes;730;Cat;False;torbie;Breed Specific;;domestic mediumhair;
Adoption;Female;Yes;150;Kitten;False;;black;;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown ;white;domestic shorthair;
Adoption;Female;Yes;60;Kitten;True;point;lynx;;siamese;
Adoption;Male;Yes;90;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;blue ;white;domestic shorthair;
Transfer;Female;No;14;Kitten;False;tabby;black;;domestic shorthair;
Adoption;Female;Yes;120;Kitten;False;;black;;domestic shorthair;
Transfer;Male;No;21;Kitten;False;tabby;white;orange;domestic shorthair;
Adoption;Female;Yes;3650;Cat;False;;white;black;domestic shorthair;
Transfer;Female;No;120;Kitten;False;tabby;blue;;domestic shorthair;
Transfer;Male;No;28;Kitten;False;;white;black;domestic mediumhair;
Return to Owner;Female;Yes;210;Cat;True;tortie;Breed Specific;;siamese;
Transfer;Male;No;14;Kitten;False;;black;white;domestic shorthair;
Return to Owner;Female;Yes;1825;Cat;True;tortie;Breed Specific;;siamese;
Return to Owner;Female;Yes;28;Kitten;False;;black;;domestic shorthair;
Euthanasia;Female;Yes;730;Cat;True;;gray;black;siamese;
Adoption;Male;Yes;3650;Cat;False;;black;;domestic shorthair;
Transfer;Male;Yes;365;Cat;False;;black;white;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;calico;Breed Specific;;domestic mediumhair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;150;Kitten;False;tabby;brown ;white;domestic mediumhair;
Transfer;Female;Yes;300;Cat;False;tortie;Breed Specific;;domestic shorthair;
Return to Owner;Male;Yes;4380;Cat;False;tabby;blue;;domestic mediumhair;
Transfer;Female;No;90;Kitten;False;tabby;blue ;white;domestic mediumhair;
Transfer;Female;Yes;180;Cat;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;False;;black;;domestic shorthair;
Transfer;Female;No;28;Kitten;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Male;No;30;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;;black;;domestic shorthair;
Adoption;Male;Yes;150;Kitten;False;tabby;orange ;white;domestic shorthair;
Transfer;Male;No;14;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;black;white;domestic shorthair;
Adoption;Female;Yes;240;Cat;False;;black;white;domestic shorthair;
Transfer;Female;Yes;28;Kitten;False;tabby;brown;;domestic shorthair;
Adoption;Female;Yes;90;Kitten;True;tortie;Breed Specific;;japanese bobtail;
Euthanasia;Female;No;3650;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;;white;blue;domestic shorthair;
Transfer;Female;Yes;365;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;1095;Cat;False;tabby;cream;;domestic shorthair;
Adoption;Female;Yes;60;Kitten;False;tabby;brown;;domestic mediumhair;
Transfer;Female;Yes;365;Cat;False;;black;white;domestic mediumhair;
Transfer;Female;Yes;365;Cat;False;tabby;brown ;white;domestic mediumhair;
Adoption;Female;Yes;730;Cat;False;torbie;Breed Specific;;domestic shorthair;
Adoption;Female;Yes;365;Cat;False;calico;Breed Specific;;domestic shorthair;
Transfer;Male;No;1460;Cat;False;tabby;orange;;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;orange ;white;domestic shorthair;
Adoption;Male;Yes;60;Kitten;False;tabby;brown ;white;domestic shorthair;
Transfer;Male;Yes;2920;Cat;False;tabby;brown;;domestic shorthair;
Transfer;Female;No;365;Cat;False;tabby;gray;;domestic shorthair;
